t,p_value,conf_low,conf_high,,t,p_value,conf_low,conf_high
-0.3691,0.7124,-0.3239,0.2218,,-0.1932,0.847,-0.2837,0.2331
0.4117,0.681,-0.2057,0.3142,,-1.0027,0.3172,-0.4103,0.1337
0.6165,0.5383,-0.2004,0.3828,,-0.0375,0.9701,-0.3014,0.2901
0.4811,0.6309,-0.1981,0.326,,-1.5771,0.1164,-0.494,0.055
-0.4208,0.6744,-0.3449,0.2236,,1.4888,0.1381,-0.0731,0.5238
-1.283,0.201,-0.4317,0.0914,,2.6378,0.009,0.0942,0.6522
0.8246,0.4106,-0.1628,0.3967,,-0.0878,0.9302,-0.3038,0.2779
0.8743,0.383,-0.1497,0.3882,,1.8987,0.0591,-0.0098,0.5151
0.0259,0.9794,-0.2781,0.2855,,1.6897,0.0926,-0.0385,0.499
0.3559,0.7223,-0.237,0.3414,,1.9045,0.0583,-0.0093,0.5343
-0.3213,0.7483,-0.3173,0.2284,,1.7198,0.087,-0.0351,0.5133
-0.4247,0.6715,-0.3332,0.2151,,2.2812,0.0236,0.042,0.5773
2.503,0.0131,0.0713,0.6009,,0.4994,0.618,-0.1964,0.3297
1.1831,0.2382,-0.1103,0.4412,,1.3034,0.1939,-0.0989,0.4843
-2.2103,0.0282,-0.5722,-0.0326,,2.1467,0.033,0.0252,0.5945
0.1892,0.8501,-0.2335,0.2831,,2.7871,0.0058,0.1202,0.7018
0.3099,0.7569,-0.2483,0.3409,,-0.0377,0.97,-0.3079,0.2963
-1.0503,0.2948,-0.4356,0.1328,,2.8688,0.0046,0.1334,0.7199
0.453,0.6511,-0.2479,0.3957,,1.2738,0.2042,-0.0991,0.4606
0.7289,0.4669,-0.1838,0.3993,,3.5465,5.00E-04,0.2297,0.8052
-0.8094,0.4193,-0.3409,0.1425,,1.1311,0.2594,-0.1233,0.455
0.1408,0.8882,-0.2553,0.2945,,1.1198,0.2641,-0.1166,0.4229
0.557,0.5781,-0.2084,0.3724,,1.4318,0.1538,-0.0716,0.451
0.6208,0.5355,-0.1957,0.3755,,2.3557,0.0195,0.0516,0.5825
0.227,0.8206,-0.2466,0.3108,,2.4118,0.0168,0.0617,0.615
0.7266,0.4683,-0.1807,0.3916,,2.0391,0.0428,0.0096,0.5757
-0.6116,0.5415,-0.3602,0.1897,,2.8483,0.0049,0.1169,0.6428
-1.5223,0.1295,-0.4336,0.0558,,0.2789,0.7806,-0.2425,0.3223
-0.084,0.9331,-0.3111,0.2856,,1.816,0.0709,-0.0221,0.5365
-0.589,0.5565,-0.3606,0.1947,,0.8274,0.409,-0.1576,0.3855
1.0422,0.2986,-0.1396,0.4526,,4.0017,1.00E-04,0.2571,0.7566
1.0237,0.3072,-0.1302,0.4112,,2.9485,0.0036,0.1299,0.6544
2.4533,0.015,0.0689,0.6337,,0.3243,0.7461,-0.2395,0.3338
-0.4398,0.6605,-0.3302,0.2097,,2.1821,0.0303,0.032,0.6321
-0.0477,0.962,-0.2784,0.2653,,1.6721,0.0961,-0.0455,0.5527
1.5644,0.1193,-0.0597,0.5178,,1.1386,0.2563,-0.1236,0.4614
0.4655,0.6421,-0.208,0.3365,,1.6509,0.1003,-0.046,0.5196
0.0748,0.9405,-0.2658,0.2868,,1.5647,0.1192,-0.0575,0.4997
1.7739,0.0776,-0.0293,0.5545,,2.5499,0.0115,0.0786,0.615
0.7643,0.4456,-0.1637,0.3709,,2.5173,0.0126,0.0717,0.5907
1.3046,0.1936,-0.0965,0.4739,,3.343,0.001,0.1897,0.7354
-0.8707,0.385,-0.4128,0.1599,,1.5252,0.1288,-0.0625,0.4889
1.2894,0.1988,-0.0926,0.4426,,3.6538,3.00E-04,0.2343,0.7839
0.2471,0.8051,-0.2531,0.3256,,-0.207,0.8362,-0.3318,0.2688
-0.7005,0.4845,-0.3917,0.1864,,0.5564,0.5786,-0.2201,0.3931
0.7861,0.4328,-0.1687,0.3923,,1.2373,0.2174,-0.0954,0.4167
0.0483,0.9615,-0.2892,0.3037,,2.9935,0.0031,0.1567,0.7615
0.6523,0.515,-0.178,0.3539,,1.8772,0.062,-0.0133,0.54
0.1054,0.9161,-0.2651,0.295,,-0.3079,0.7584,-0.2975,0.2172
-2.4606,0.0147,-0.603,-0.0665,,,,,
-0.2661,0.7904,-0.3129,0.2385,,,,,