file,t-value,p-value,con_hi,con_lo,,file,t-value,p-value,con_hi,con_lo
meanfilesA1,0.449,0.655,-0.316,0.503,,meanfilesA55,1.567,0.120,-0.082,0.727
meanfilesA10,0.749,0.455,-0.234,0.523,,meanfilesA56,0.254,0.800,-0.331,0.429
meanfilesA100,0.909,0.365,-0.213,0.579,,meanfilesA57,0.395,0.694,-0.306,0.460
meanfilesA11,2.058,0.042,0.018,0.793,,meanfilesA58,-0.007,0.994,-0.388,0.391
meanfilesA12,-1.278,0.204,-0.140,0.660,,meanfilesA59,1.395,0.166,-0.107,0.629
meanfilesA13,0.290,0.772,-0.358,0.483,,meanfilesA6,0.506,0.614,-0.270,0.457
meanfilesA14,1.568,0.120,-0.085,0.754,,meanfilesA60,0.056,0.955,-0.353,0.374
meanfilesA15,1.686,0.095,-0.056,0.741,,meanfilesA61,1.160,0.249,-0.138,0.536
meanfilesA16,1.276,0.205,-0.134,0.629,,meanfilesA62,2.958,0.004,0.207,1.028
meanfilesA17,2.446,0.016,0.100,0.912,,meanfilesA63,1.992,0.049,0.005,0.719
meanfilesA18,1.214,0.228,-0.150,0.634,,meanfilesA64,2.535,0.013,0.109,0.862
meanfilesA19,4.199,0.000,0.389,1.074,,meanfilesA65,-0.308,0.759,-0.317,0.435
meanfilesA2,0.788,0.432,-0.234,0.548,,meanfilesA66,1.906,0.060,-0.012,0.768
meanfilesA20,1.833,0.070,-0.026,0.765,,meanfilesA67,0.709,0.480,-0.255,0.542
meanfilesA21,1.640,0.104,-0.066,0.729,,meanfilesA68,1.842,0.069,-0.024,0.746
meanfilesA22,-0.075,0.941,-0.406,0.438,,meanfilesA69,0.358,0.721,-0.327,0.472
meanfilesA23,0.353,0.725,-0.313,0.451,,meanfilesA7,0.956,0.341,-0.237,0.686
meanfilesA24,1.967,0.052,0.001,0.856,,meanfilesA70,1.280,0.203,-0.142,0.675
meanfilesA25,-0.412,0.681,-0.303,0.464,,meanfilesA71,0.855,0.395,-0.234,0.594
meanfilesA26,0.194,0.846,-0.392,0.478,,meanfilesA72,1.022,0.309,-0.190,0.601
meanfilesA27,2.051,0.043,0.018,0.851,,meanfilesA73,1.775,0.079,-0.039,0.775
meanfilesA28,0.526,0.600,-0.250,0.433,,meanfilesA74,1.902,0.060,-0.012,0.714
meanfilesA29,1.218,0.226,-0.166,0.709,,meanfilesA75,-0.132,0.895,-0.358,0.409
meanfilesA3,0.141,0.888,-0.328,0.379,,meanfilesA76,1.184,0.239,-0.148,0.596
meanfilesA30,1.609,0.111,-0.070,0.700,,meanfilesA77,-0.319,0.750,-0.308,0.428
meanfilesA31,-0.339,0.735,-0.325,0.461,,meanfilesA78,0.324,0.746,-0.326,0.455
meanfilesA32,1.485,0.141,-0.086,0.620,,meanfilesA79,1.926,0.057,-0.007,0.671
meanfilesA33,0.197,0.844,-0.353,0.432,,meanfilesA8,0.626,0.533,-0.267,0.516
meanfilesA34,0.904,0.368,-0.225,0.610,,meanfilesA80,0.446,0.657,-0.308,0.488
meanfilesA35,2.325,0.022,0.078,0.928,,meanfilesA81,0.815,0.417,-0.272,0.658
meanfilesA36,1.278,0.204,-0.137,0.646,,meanfilesA82,1.854,0.067,-0.023,0.806
meanfilesA37,1.486,0.140,-0.089,0.640,,meanfilesA83,0.962,0.338,-0.210,0.613
meanfilesA38,-1.362,0.176,-0.124,0.682,,meanfilesA84,1.555,0.123,-0.076,0.658
meanfilesA39,1.415,0.160,-0.098,0.601,,meanfilesA85,0.698,0.487,-0.256,0.538
meanfilesA4,1.332,0.186,-0.125,0.653,,meanfilesA86,1.179,0.241,-0.157,0.627
meanfilesA40,0.827,0.410,-0.208,0.510,,meanfilesA87,1.878,0.063,-0.021,0.948
meanfilesA41,1.685,0.095,-0.054,0.702,,meanfilesA88,1.265,0.209,-0.134,0.619
meanfilesA42,1.021,0.310,-0.177,0.559,,meanfilesA89,-0.804,0.423,-0.273,0.651
meanfilesA43,0.930,0.355,-0.221,0.620,,meanfilesA9,0.942,0.349,-0.198,0.563
meanfilesA44,1.819,0.072,-0.029,0.766,,meanfilesA90,0.970,0.335,-0.202,0.595
meanfilesA45,1.113,0.268,-0.166,0.599,,meanfilesA91,2.249,0.027,0.056,0.835
meanfilesA46,2.510,0.014,0.106,0.869,,meanfilesA92,0.528,0.599,-0.249,0.432
meanfilesA47,1.114,0.268,-0.172,0.622,,meanfilesA93,-0.238,0.812,-0.363,0.463
meanfilesA48,-0.426,0.671,-0.345,0.536,,meanfilesA94,2.687,0.008,0.149,0.959
meanfilesA49,0.733,0.465,-0.275,0.603,,meanfilesA95,1.190,0.237,-0.171,0.694
meanfilesA5,1.314,0.192,-0.126,0.636,,meanfilesA96,0.257,0.798,-0.300,0.391
meanfilesA50,0.255,0.799,-0.324,0.420,,meanfilesA97,-0.525,0.601,-0.326,0.565
meanfilesA51,1.570,0.120,-0.083,0.748,,meanfilesA98,1.264,0.209,-0.128,0.592
meanfilesA52,1.281,0.203,-0.127,0.604,,meanfilesA99,1.835,0.070,-0.023,0.671
meanfilesA53,0.687,0.494,-0.257,0.532,,,,,,
meanfilesA54,1.947,0.054,-0.003,0.737,,,,,Total ,11.000